"Age","A_single_family_nucleus_and_other_persons","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Two_or_more_family_nuclei"
"10-14",5824594,28273879,38955,6888,915290,4304138,6299476
"15-19",2375060,8569915,436200,74815,884006,2180489,2371098
"20-24",2180573,7360398,1448016,311499,1175663,1685032,2923681
"25-29",1880610,7928126,2040473,477894,897984,1346689,2376262
"30-34",1583638,8563083,1585990,509495,618181,1172617,1595807
"35-39",1352366,8134985,1045665,478789,505521,1116595,1173846
"40-44",1314635,7239765,987521,527966,523312,1149915,1206504
"45-49",1318061,5836005,1165347,592164,526875,1060272,1288749
"50-54",1318292,4058926,1389995,641370,531097,883384,1273983
"55-59",1228977,2645832,1500664,652984,478201,645254,1100394
"60-64",1052668,1585889,1438816,652220,432335,462652,849531
"65-69",837866,897786,1190194,598682,361864,330137,608943
"70-74",671110,535697,923446,548676,325104,271450,442098
"75-79",489188,288436,583301,423543,266398,204836,289296
"80-84",352509,142189,312988,298467,214297,137835,178691
"85-89",203139,50317,113862,145349,131248,63330,91925
"90-94",92502,14799,29072,53373,61512,22230,36666
"95-99",31151,2554,6460,13705,21136,5343,12569
"100+",7648,753,1242,2569,5035,1228,3325
