"Age","A_single_family_nucleus_and_other_persons","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Unknown","Two_or_more_family_nuclei"
"0-14",5153676,3060955,0,0,0,1082758,0,0
"15-19",1601588,569247,11974,29565,0,314961,0,0
"20-24",1413789,411787,52727,128635,0,201486,0,0
"25-29",1110036,469326,77324,182904,0,149768,0,0
"30-34",801721,509223,64085,130194,0,132574,0,0
"35-39",630650,494908,45179,90048,0,129147,0,0
"40-44",539042,400307,34237,70220,0,117959,0,0
"45-49",451553,285387,28092,60337,0,93863,0,0
"50-54",450667,201708,27571,59741,0,77268,0,0
"55-59",303917,103093,19352,44465,0,42639,0,0
"60-64",303053,72114,17801,43137,0,31337,0,0
"65-69",196411,34811,11078,29298,0,17040,0,0
"70-74",250527,28659,12143,37786,0,15866,0,0
"75-79",150316,14088,6927,22655,0,8345,0,0
"80-84",118706,10674,4333,16570,0,6179,0,0
"85-89",61966,6368,2080,8043,0,3246,0,0
"90-94",38966,3353,1257,5052,0,1710,0,0
"95-99",17296,2028,520,2050,0,885,0,0
"100+",0,0,0,0,0,0,0,0
