"Age","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Two_or_more_family_nuclei"
"0-14",6864909,25564,1456,32269,1009301,389865
"15-19",2262532,15146,9211,22321,476929,80713
"20-24",2141524,97614,134727,73682,479355,119435
"25-29",1913459,349304,341988,105907,409169,142579
"30-34",2088718,548526,495587,108666,377670,148950
"35-39",2757841,512391,570581,106487,459378,145259
"40-44",3049049,427836,563060,107344,516309,119663
"45-49",3034322,429866,550237,112150,526264,106883
"50-54",2480522,526152,498046,103399,423396,103759
"55-59",1883633,838456,472267,91902,319728,109291
"60-64",1370452,1365738,525740,88127,257361,119352
"65-69",766441,1437954,532142,78642,190023,98077
"70-74",517568,1524132,676280,91521,192301,86374
"75-79",297435,1127670,730819,95330,177139,59943
"80-84",168670,706234,747810,96621,151604,36575
"85-89",79408,305223,553491,73902,98413,17519
"90-94",23259,72067,200186,29761,34611,4746
"95-99",5879,15050,56697,10370,10833,1119
"100+",739,1720,6980,1714,1585,151
