"Age","A_single_family_nucleus_and_other_persons","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Unknown","Two_or_more_family_nuclei"
"0-14",0,592740,12,51,54,184086,19587,62340
"15-19",0,162150,12147,2643,19521,62316,6456,21534
"20-24",0,77619,51990,8769,53673,33693,7503,28155
"25-29",0,71484,65943,12060,30966,26241,6726,22296
"30-34",0,124542,56730,16908,19512,28059,6762,16350
"35-39",0,170220,37344,20010,12585,33297,6801,13311
"40-44",0,182763,34998,22434,10185,36483,6672,12768
"45-49",0,151332,50880,24588,9150,31314,6132,13476
"50-54",0,92568,80958,26280,8172,20805,5163,12966
"55-59",0,49158,111132,29796,7593,13224,4650,11427
"60-64",0,22233,98304,27222,5631,7953,3285,8472
"65-69",0,12954,82527,27312,4188,5682,2580,6375
"70-74",0,7701,61806,27882,2997,4599,1740,3747
"75-79",0,4926,47550,31626,2355,4026,1311,2133
"80-84",0,2637,26316,28212,1443,3234,822,954
"85-89",0,1041,8985,16200,663,1971,258,420
"90-94",0,303,1998,5436,207,771,75,96
"95-99",0,72,234,801,45,153,21,15
"100+",0,18,27,72,6,33,3,6
