"Age","A_single_family_nucleus_and_other_persons","Couple_with_children","Couple_without_children","One_person_household","Other","Single_parent_with_children","Two_or_more_family_nuclei"
"0-14",4142029,10921579,42,16659,2678553,2266597,1534813
"15-19",1161917,2573574,749956,510941,1603778,1198556,292584
"20-24",2048057,1521797,2871473,789766,2117700,1462125,870843
"25-29",2245568,2935222,2016972,672674,1752378,1085594,1048621
"30-34",1830468,4065555,1074374,628026,1481199,1009733,692605
"35-39",1484237,4175062,932864,628093,1281757,1111156,419590
"40-44",1327722,2894055,1775794,668259,1089885,1058383,331412
"45-49",1755004,1604385,3507312,898963,1179442,1127223,518779
"50-54",2140217,611334,4504663,1149740,1247701,1049300,711984
"55-59",1882481,166160,4106789,1312879,1102112,794332,604694
"60-64",1367468,40323,3206176,1355685,898634,525095,403247
"65-69",617762,7270,1515571,927035,487496,251844,174588
"70-74",911977,4152,2221878,1809636,806648,436306,233265
"75-79",511134,1082,973096,1164983,480571,286290,114147
"80-84",479235,379,529044,1030968,446543,285829,78941
"85-89",210983,126,99571,362580,196087,128629,24758
"90-94",56387,53,12183,68437,50644,35465,5555
"95-99",15633,32,1596,13310,14868,10563,1276
"100+",1866,18,141,1318,2372,1175,299
