"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"ABW","Aruba","North America","Caribbean","103000","78.4","828","Nonmetropolitan Territory of The Netherlands","Beatrix"
"AFG","Afghanistan","Asia","Southern and Central Asia","22720000","45.9","5976","Islamic Emirate","Mohammad Omar"
"AGO","Angola","Africa","Central Africa","12878000","38.3","6648","Republic","José Eduardo dos Santos"
"AIA","Anguilla","North America","Caribbean","8000","76.1","63.2","Dependent Territory of the UK","Elizabeth II"
"ALB","Albania","Europe","Southern Europe","3401200","71.6","3205","Republic","Rexhep Mejdani"
"AND","Andorra","Europe","Southern Europe","78000","83.5","1630","Parliamentary Coprincipality","Marc Forné Molné"
"ANT","Netherlands Antilles","North America","Caribbean","217000","74.7","1941","Nonmetropolitan Territory of The Netherlands","Beatrix"
"ARE","United Arab Emirates","Asia","Middle East","2441000","74.1","37966","Emirate Federation","Zayid bin Sultan al-Nahayan"
"ARG","Argentina","South America","South America","37032000","75.1","340238","Federal Republic","Fernando de la Rúa"
"ARM","Armenia","Asia","Middle East","3520000","66.4","1813","Republic","Robert KotÂšarjan"
"ASM","American Samoa","Oceania","Polynesia","68000","75.1","334","US Territory","George W. Bush"
"ATA","Antarctica","Antarctica","Antarctica","0","","0","Co-administrated",""
"ATF","French Southern territories","Antarctica","Antarctica","0","","0","Nonmetropolitan Territory of France","Jacques Chirac"
"ATG","Antigua and Barbuda","North America","Caribbean","68000","70.5","612","Constitutional Monarchy","Elizabeth II"
"AUS","Australia","Oceania","Australia and New Zealand","18886000","79.8","351182","Constitutional Monarchy, Federation","Elizabeth II"
"AUT","Austria","Europe","Western Europe","8091800","77.7","211860","Federal Republic","Thomas Klestil"
"AZE","Azerbaijan","Asia","Middle East","7734000","62.9","4127","Federal Republic","Heydär Äliyev"
"BDI","Burundi","Africa","Eastern Africa","6695000","46.2","903","Republic","Pierre Buyoya"
"BEL","Belgium","Europe","Western Europe","10239000","77.8","249704","Constitutional Monarchy, Federation","Albert II"
"BEN","Benin","Africa","Western Africa","6097000","50.2","2357","Republic","Mathieu Kérékou"
"BFA","Burkina Faso","Africa","Western Africa","11937000","46.7","2425","Republic","Blaise Compaoré"
"BGD","Bangladesh","Asia","Southern and Central Asia","129155000","60.2","32852","Republic","Shahabuddin Ahmad"
"BGR","Bulgaria","Europe","Eastern Europe","8190900","70.9","12178","Republic","Petar Stojanov"
"BHR","Bahrain","Asia","Middle East","617000","73","6366","Monarchy (Emirate)","Hamad ibn Isa al-Khalifa"
"BHS","Bahamas","North America","Caribbean","307000","71.1","3527","Constitutional Monarchy","Elizabeth II"
"BIH","Bosnia and Herzegovina","Europe","Southern Europe","3972000","71.5","2841","Federal Republic","Ante Jelavic"
"BLR","Belarus","Europe","Eastern Europe","10236000","68","13714","Republic","Aljaksandr LukaÂšenka"
"BLZ","Belize","North America","Central America","241000","70.9","630","Constitutional Monarchy","Elizabeth II"
"BMU","Bermuda","North America","North America","65000","76.9","2328","Dependent Territory of the UK","Elizabeth II"
"BOL","Bolivia","South America","South America","8329000","63.7","8571","Republic","Hugo Bánzer Suárez"
"BRA","Brazil","South America","South America","170115000","62.9","776739","Federal Republic","Fernando Henrique Cardoso"
"BRB","Barbados","North America","Caribbean","270000","73","2223","Constitutional Monarchy","Elizabeth II"
"BRN","Brunei","Asia","Southeast Asia","328000","73.6","11705","Monarchy (Sultanate)","Haji Hassan al-Bolkiah"
"BTN","Bhutan","Asia","Southern and Central Asia","2124000","52.4","372","Monarchy","Jigme Singye Wangchuk"
"BVT","Bouvet Island","Antarctica","Antarctica","0","","0","Dependent Territory of Norway","Harald V"
"BWA","Botswana","Africa","Southern Africa","1622000","39.3","4834","Republic","Festus G. Mogae"
"CAF","Central African Republic","Africa","Central Africa","3615000","44","1054","Republic","Ange-Félix Patassé"
"CAN","Canada","North America","North America","31147000","79.4","598862","Constitutional Monarchy, Federation","Elizabeth II"
"CCK","Cocos (Keeling) Islands","Oceania","Australia and New Zealand","600","","0","Territory of Australia","Elizabeth II"
"CHE","Switzerland","Europe","Western Europe","7160400","79.6","264478","Federation","Adolf Ogi"
"CHL","Chile","South America","South America","15211000","75.7","72949","Republic","Ricardo Lagos Escobar"
"CHN","China","Asia","Eastern Asia","1277558000","71.4","982268","People's Republic","Jiang Zemin"
"CIV","Côte d'Ivoire","Africa","Western Africa","14786000","45.2","11345","Republic","Laurent Gbagbo"
"CMR","Cameroon","Africa","Central Africa","15085000","54.8","9174","Republic","Paul Biya"
"COD","Congo, The Democratic Republic of the","Africa","Central Africa","51654000","48.8","6964","Republic","Joseph Kabila"
"COG","Congo","Africa","Central Africa","2943000","47.4","2108","Republic","Denis Sassou-Nguesso"
"COK","Cook Islands","Oceania","Polynesia","20000","71.1","100","Nonmetropolitan Territory of New Zealand","Elizabeth II"
"COL","Colombia","South America","South America","42321000","70.3","102896","Republic","Andrés Pastrana Arango"
"COM","Comoros","Africa","Eastern Africa","578000","60","4401","Republic","Azali Assoumani"
"CPV","Cape Verde","Africa","Western Africa","428000","68.9","435","Republic","António Mascarenhas Monteiro"
